Timestamp,How would you describe your gender?,Which of the following would you describe yourself as?,Where do you live?,What is your age?,Do you believe that a secret cabal of lizard-people rule the world?,"A man has the confidence that if something is broken, it can be fixed.",A man cultivates as many interests as is possible.,"A man knows everything about something, and something about everything.",A man appreciates beauty in all of its forms.,A man uses his wealth and social standing for the benefit of others.,"A man does what he says he will do, and does not make promises he cannot keep.","A man may take a beating, of whatever kind, but he gets back up afterwards.","A man shows courtesy by holding doors open, pulling out chairs, and allowing others to choose before him.",A man is willing to endure suffering gladly in order to accomplish his goals.,A man protects those who are less strong than him.,A man arrives to occasions on time.,A man always looks to improve himself.,"A man is willing to challenge the status quo, if he has a better alternative.","A man shows sportsmanship, and does not harbour grudges against those that best him.",A man speaks his mind.,A man settles disputes by applying his principles equally to any situation.,A man is financially independent.,A man doesn't let the little frustrations of life get to him.,A man is unashamed of his sexual desires.,A man is willing and able to please his sexual partners.,A man does not make demands of his friends.,A man seeks advice when he wants to find a solution.,A man does not rely on the kindness of others.,A man is quick to respond in a time of crisis.,A man does not let fear or intimidation change his intent.,A man powers through a problem when grace or finesse fails.,"A man cultivates practical skills, and is ready to use them.",A man puts the lives of others over himself.,A man maintains his physical strength and fitness.,A man would rather try and fail than miss their chance at success.,"A man has a plan to get, or do, what it is they want.",A man does not perceive something as a threat to him unless it is a real danger.,"A man has a cause he believes in and takes risks for, and he would gladly suffer because of it.",A man does not lie.,A man cultivates a good sense of humour.,A man channels his anger and frustrations to productive ends.,A man does not need to prove himself to others.,A man prioritises clarity and directness over politeness and people-pleasing.,"A man values competition, and embraces it as a chance to better himself.","A man is open, clear, and consistent in his values.",A man does not trouble others with his feelings until he has made sense of them himself.,"A man is quick to form an opinion, and quick to defend it.","A man is always keen to explore, and seeks things unfamiliar to him.",A man is comfortable with who he is.,"A man makes the first move, sexually and romantically.",A man has a penis.,A man keeps his feelings to himself.,"A man has the confidence to speak authoritatively, unless he is proven wrong.",A man puts his bonds with other men first.,"A man accepts survival of the fittest, and does not let his neighbour's failures taint his successes.",A man's worth is measured by his accomplishments.,"A man does man's work, and lets women do women's work.",A man is able to provide financially for himself and others.,A man dresses practically.,A man takes the lead in bed.,A man eats whatever food he wants.,A man puts the needs and feelings of others before himself.,A man does not let his feelings cloud his judgement.,"A man is secure in his convictions, and is not easily swayed by the words of others.",A man is ready to use physical force or violence where it is necessary.,A man cherishes and values the qualities of women.,A man will defend his integrity if it is questioned.,A man helps other men to be good men.,A man does not speak ill of others.,A man is faithful to his roots.,A man lives in the present.,Feedback
11/19/2016 9:40:20,Man,Liberal,Northern America,41 - 65,Yes,Desirable,Essential,Desirable,Essential,Essential,Neutral,Desirable,Neutral,Desirable,Essential,Desirable,Neutral,Essential,Essential,Desirable,Desirable,Desirable,Neutral,Essential,Desirable,Desirable,Desirable,Neutral,Essential,Essential,Desirable,Desirable,Desirable,Desirable,Essential,Desirable,Desirable,Desirable,Desirable,Desirable,Essential,Essential,Neutral,Essential,Desirable,Neutral,Neutral,Essential,Essential,Neutral,Neutral,Undesirable,Desirable,Neutral,Undesirable,Undesirable,Undesirable,Desirable,Neutral,Neutral,Essential,Neutral,Neutral,Desirable,Desirable,Essential,Desirable,Essential,Desirable,Neutral,Neutral,
11/19/2016 9:42:40,Man,"Liberal, Libertarian, Moderate",Europe,26 - 40,No,Desirable,Desirable,Neutral,Desirable,Neutral,Desirable,Essential,Desirable,Desirable,Essential,Desirable,Desirable,Desirable,Desirable,Desirable,Essential,Desirable,Desirable,Desirable,Desirable,Desirable,Essential,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Neutral,Desirable,Desirable,Neutral,Neutral,Desirable,Neutral,Undesirable,Undesirable,Desirable,Undesirable,Desirable,Neutral,Neutral,Desirable,Neutral,Desirable,Desirable,Desirable,Essential,Desirable,Essential,Neutral,Neutral,Desirable,
11/19/2016 9:45:20,Other,"Socialist, Feminist",Europe,26 - 40,No,Desirable,Essential,Neutral,Desirable,Desirable,Desirable,Essential,Undesirable,Desirable,Desirable,Desirable,Essential,Desirable,Desirable,Neutral,Desirable,Neutral,Desirable,Essential,Desirable,Neutral,Desirable,Neutral,Desirable,Desirable,Undesirable,Desirable,Neutral,Neutral,Neutral,Desirable,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Undesirable,Desirable,Desirable,Undesirable,Undesirable,Desirable,Essential,Undesirable,Neutral,Undesirable,Undesirable,Undesirable,Desirable,Undesirable,Undesirable,Neutral,Neutral,Neutral,Desirable,Neutral,Desirable,Undesirable,Undesirable,Desirable,Desirable,Essential,Neutral,Desirable,Desirable,"Should question four read ""A man doesn't let..."""
11/19/2016 9:45:50,Man,,Europe,18 - 25,No,Neutral,Neutral,Neutral,Neutral,Desirable,Desirable,Neutral,Neutral,Neutral,Desirable,Desirable,Essential,Neutral,Desirable,Neutral,Neutral,Desirable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Neutral,Neutral,Neutral,Desirable,Neutral,Desirable,Desirable,Neutral,Neutral,Desirable,Undesirable,Undesirable,Neutral,Desirable,Neutral,Neutral,Undesirable,Neutral,Neutral,Undesirable,Undesirable,Neutral,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Undesirable,Neutral,Desirable,Neutral,Essential,Desirable,Neutral,Neutral,
11/19/2016 9:50:10,Man,"Socialist, Liberal, Feminist, Egalitarian, Moderate",Europe,26 - 40,No,Essential,Essential,Desirable,Essential,Essential,Essential,Desirable,Desirable,Neutral,Essential,Essential,Essential,Essential,Essential,Desirable,Neutral,Desirable,Neutral,Essential,Essential,Neutral,Essential,Neutral,Essential,Neutral,Neutral,Desirable,Desirable,Essential,Essential,Desirable,Essential,Neutral,Desirable,Essential,Essential,Undesirable,Desirable,Essential,Desirable,Desirable,Undesirable,Essential,Essential,Neutral,Neutral,Undesirable,Essential,Neutral,Undesirable,Neutral,Neutral,Desirable,Essential,Neutral,Neutral,Desirable,Essential,Neutral,Neutral,Essential,Neutral,Essential,Desirable,Neutral,Neutral,
11/19/2016 9:53:30,Man,"Socialist, Moderate",Europe,26 - 40,No,Desirable,Neutral,Undesirable,Desirable,Neutral,Essential,Essential,Neutral,Desirable,Neutral,Desirable,Essential,Desirable,Essential,Desirable,Desirable,Desirable,Essential,Neutral,Desirable,Undesirable,Desirable,Essential,Essential,Essential,Desirable,Desirable,Undesirable,Essential,Neutral,Desirable,Essential,Desirable,Neutral,Desirable,Essential,Essential,Desirable,Desirable,Essential,Undesirable,Undesirable,Neutral,Desirable,Neutral,Neutral,Undesirable,Desirable,Neutral,Essential,Essential,Undesirable,Desirable,Neutral,Neutral,Undesirable,Undesirable,Essential,Neutral,Desirable,Desirable,Neutral,Essential,Neutral,Neutral,Desirable,
11/19/2016 9:54:02,Woman,"Socialist, Liberal, Feminist",Europe,26 - 40,No,Undesirable,Desirable,Undesirable,Desirable,Desirable,Desirable,Undesirable,Neutral,Neutral,Desirable,Essential,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Desirable,Neutral,Neutral,Desirable,Neutral,Desirable,Desirable,Neutral,Desirable,Neutral,Neutral,Neutral,Undesirable,Desirable,Neutral,Essential,Undesirable,Neutral,Essential,Undesirable,Neutral,Neutral,Desirable,Desirable,Desirable,Undesirable,Neutral,Undesirable,Undesirable,Undesirable,Undesirable,Neutral,Neutral,Desirable,Neutral,Desirable,Undesirable,Desirable,Undesirable,Essential,Desirable,Desirable,Neutral,Neutral,Neutral,None
11/19/2016 9:56:03,Other,"Socialist, Liberal, Feminist, Egalitarian",Europe,26 - 40,No,Desirable,Desirable,Desirable,Essential,Desirable,Desirable,Neutral,Neutral,Desirable,Essential,Neutral,Essential,Desirable,Essential,Essential,Desirable,Desirable,Neutral,Neutral,Neutral,Neutral,Desirable,Undesirable,Essential,Desirable,Neutral,Desirable,Desirable,Neutral,Essential,Undesirable,Essential,Desirable,Neutral,Desirable,Desirable,Essential,Neutral,Desirable,Desirable,Desirable,Undesirable,Desirable,Desirable,Neutral,Neutral,Undesirable,Desirable,Undesirable,Neutral,Neutral,Undesirable,Neutral,Neutral,Neutral,Neutral,Desirable,Desirable,Neutral,Undesirable,Essential,Essential,Desirable,Desirable,Essential,Desirable,
11/19/2016 10:04:41,Man,"Socialist, Feminist, Egalitarian",Europe,26 - 40,No,Desirable,Essential,Desirable,Essential,Essential,Desirable,Neutral,Desirable,Neutral,Essential,Essential,Essential,Essential,Essential,Neutral,Desirable,Neutral,Neutral,Desirable,Essential,Desirable,Desirable,Undesirable,Desirable,Desirable,Neutral,Desirable,Neutral,Desirable,Desirable,Neutral,Essential,Desirable,Neutral,Essential,Neutral,Neutral,Desirable,Desirable,Essential,Neutral,Undesirable,Desirable,Essential,Neutral,Neutral,Undesirable,Neutral,Undesirable,Undesirable,Neutral,Undesirable,Neutral,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Neutral,Essential,Neutral,Essential,Desirable,Desirable,Neutral,
11/19/2016 10:05:25,Other,"Socialist, Feminist, Egalitarian",Europe,41 - 65,Maybe,Essential,Desirable,Undesirable,Essential,Desirable,Desirable,Undesirable,Desirable,Undesirable,Essential,Neutral,Desirable,Desirable,Desirable,Neutral,Desirable,Neutral,Neutral,Desirable,Desirable,Neutral,Neutral,Neutral,Desirable,Neutral,Undesirable,Neutral,Neutral,Neutral,Undesirable,Undesirable,Neutral,Undesirable,Neutral,Desirable,Neutral,Essential,Desirable,Neutral,Desirable,Undesirable,Undesirable,Desirable,Desirable,Undesirable,Neutral,Undesirable,Neutral,Undesirable,Undesirable,Undesirable,Undesirable,Neutral,Neutral,Neutral,Desirable,Undesirable,Neutral,Neutral,Undesirable,Desirable,Essential,Essential,Desirable,Neutral,Essential,
11/19/2016 10:05:41,Man,"Liberal, Feminist, Egalitarian, Moderate",Europe,26 - 40,Maybe,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Neutral,Desirable,Neutral,Desirable,Desirable,Neutral,Neutral,Essential,Desirable,Neutral,Neutral,Desirable,Desirable,Desirable,Neutral,Desirable,Undesirable,Desirable,Desirable,Undesirable,Desirable,Neutral,Neutral,Neutral,Neutral,Neutral,Undesirable,Undesirable,Desirable,Desirable,Desirable,Undesirable,Undesirable,Neutral,Undesirable,Neutral,Desirable,Desirable,Undesirable,Neutral,Undesirable,Neutral,Undesirable,Neutral,Undesirable,Undesirable,Undesirable,Undesirable,Neutral,Desirable,Desirable,Desirable,Neutral,Undesirable,Essential,Desirable,Neutral,Neutral,Neutral,Undesirable,
11/19/2016 10:14:52,Woman,"Liberal, Feminist, Moderate",Europe,26 - 40,No,Desirable,Neutral,Neutral,Desirable,Desirable,Essential,Desirable,Undesirable,Neutral,Neutral,Desirable,Essential,Desirable,Desirable,Neutral,Essential,Neutral,Neutral,Desirable,Essential,Undesirable,Desirable,Neutral,Desirable,Desirable,Neutral,Desirable,Neutral,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Neutral,Desirable,Desirable,Undesirable,Desirable,Essential,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Undesirable,Neutral,Neutral,Neutral,Undesirable,Undesirable,Desirable,Neutral,Neutral,Desirable,Neutral,Undesirable,Neutral,Neutral,Essential,Desirable,Desirable,Desirable,Desirable,Neutral,"i feel a huge chunk of these would have benefited from a ""better if applied equally to both genders"" button"
11/19/2016 10:17:46,Woman,"Socialist, Feminist",Europe,26 - 40,No,Neutral,Desirable,Neutral,Desirable,Essential,Desirable,Neutral,Desirable,Neutral,Desirable,Neutral,Neutral,Desirable,Desirable,Desirable,Desirable,Neutral,Neutral,Desirable,Desirable,Neutral,Desirable,Undesirable,Desirable,Desirable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Desirable,Desirable,Neutral,Desirable,Neutral,Neutral,Neutral,Undesirable,Neutral,Neutral,Desirable,Neutral,Desirable,Undesirable,Desirable,Neutral,Undesirable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Undesirable,Neutral,Neutral,Undesirable,Essential,Desirable,Desirable,Desirable,Neutral,Neutral,
11/19/2016 10:18:56,Man,"Socialist, Libertarian, Anarchist, Feminist, Egalitarian",Europe,26 - 40,No,Neutral,Desirable,Neutral,Desirable,Desirable,Desirable,Undesirable,Neutral,Desirable,Essential,Desirable,Neutral,Essential,Desirable,Essential,Essential,Neutral,Desirable,Desirable,Essential,Desirable,Desirable,Undesirable,Desirable,Desirable,Undesirable,Desirable,Neutral,Desirable,Desirable,Neutral,Undesirable,Desirable,Desirable,Essential,Desirable,Essential,Desirable,Undesirable,Desirable,Undesirable,Neutral,Desirable,Desirable,Neutral,Neutral,Undesirable,Desirable,Undesirable,Undesirable,Undesirable,Undesirable,Neutral,Neutral,Neutral,Neutral,Desirable,Undesirable,Desirable,Undesirable,Desirable,Desirable,Desirable,Neutral,Neutral,Desirable,
11/19/2016 10:22:42,Woman,"Socialist, Feminist",Europe,26 - 40,Maybe,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Neutral,Undesirable,Neutral,Neutral,Desirable,Desirable,Desirable,Desirable,Neutral,Neutral,Neutral,Undesirable,Desirable,Neutral,Neutral,Desirable,Undesirable,Neutral,Neutral,Undesirable,Neutral,Neutral,Neutral,Neutral,Neutral,Undesirable,Neutral,Neutral,Neutral,Desirable,Desirable,Neutral,Desirable,Desirable,Undesirable,Undesirable,Desirable,Neutral,Neutral,Neutral,Undesirable,Neutral,Undesirable,Undesirable,Undesirable,Undesirable,Neutral,Neutral,Undesirable,Neutral,Neutral,Neutral,Neutral,Undesirable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"I think the issue with holding up specific standards as positive, is that historically they've been used to suggest that any other behaviour is substandard. They create a place where sexism and similar can grow."
11/19/2016 10:26:27,Man,"Liberal, Feminist, Moderate",Europe,26 - 40,No,Neutral,Neutral,Undesirable,Neutral,Desirable,Desirable,Neutral,Desirable,Undesirable,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Neutral,Undesirable,Undesirable,Desirable,Desirable,Neutral,Neutral,Undesirable,Neutral,Undesirable,Undesirable,Neutral,Neutral,Neutral,Undesirable,Undesirable,Undesirable,Neutral,Desirable,Neutral,Neutral,Essential,Undesirable,Neutral,Desirable,Neutral,Undesirable,Neutral,Desirable,Undesirable,Undesirable,Undesirable,Undesirable,Undesirable,Undesirable,Undesirable,Undesirable,Neutral,Neutral,Undesirable,Neutral,Neutral,Undesirable,Undesirable,Undesirable,Neutral,Desirable,Desirable,Desirable,Undesirable,Undesirable,
11/19/2016 10:27:23,Man,"Socialist, Anarchist, Feminist",Europe,26 - 40,No,Desirable,Desirable,Neutral,Desirable,Neutral,Desirable,Neutral,Undesirable,Neutral,Desirable,Neutral,Desirable,Desirable,Desirable,Desirable,Neutral,Neutral,Neutral,Desirable,Desirable,Desirable,Desirable,Neutral,Desirable,Desirable,Neutral,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Neutral,Neutral,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Undesirable,Neutral,Desirable,Desirable,Neutral,Neutral,Undesirable,Neutral,Undesirable,Neutral,Neutral,Undesirable,Neutral,Neutral,Neutral,Neutral,Neutral,Undesirable,Neutral,Neutral,Desirable,Desirable,Neutral,Undesirable,Neutral,Neutral,
11/19/2016 10:30:17,Man,"Liberal, Feminist, Egalitarian, Moderate",Europe,26 - 40,No,Desirable,Neutral,Desirable,Desirable,Essential,Essential,Desirable,Neutral,Neutral,Essential,Desirable,Essential,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Desirable,Neutral,Desirable,Neutral,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Desirable,Neutral,Desirable,Undesirable,Neutral,Desirable,Desirable,Neutral,Neutral,Neutral,Neutral,Neutral,Undesirable,Undesirable,Neutral,Desirable,Desirable,Neutral,Neutral,Neutral,Neutral,Neutral,Desirable,Essential,Essential,Essential,Neutral,Neutral,Desirable,
11/19/2016 10:36:35,Woman,"Socialist, Liberal, Feminist",Europe,26 - 40,No,Undesirable,Neutral,Neutral,Essential,Desirable,Desirable,Undesirable,Neutral,Undesirable,Neutral,Desirable,Desirable,Desirable,Neutral,Desirable,Neutral,Neutral,Undesirable,Essential,Desirable,Desirable,Desirable,Neutral,Neutral,Neutral,Undesirable,Desirable,Neutral,Neutral,Desirable,Neutral,Desirable,Desirable,Neutral,Neutral,Essential,Essential,Neutral,Essential,Desirable,Undesirable,Undesirable,Essential,Desirable,Undesirable,Neutral,Undesirable,Desirable,Neutral,Undesirable,Undesirable,Undesirable,Neutral,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Undesirable,Desirable,Neutral,Desirable,Desirable,Neutral,Neutral,
